"id","bayId","rateId","createdBy","updatedBy","createdAt","updatedAt"
2,1,1,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
3,1,2,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
4,1,3,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
5,1,4,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
6,1,5,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
7,1,6,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
8,1,7,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
9,1,8,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
10,4,1,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
11,4,2,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
12,4,3,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
13,4,4,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
14,4,5,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
15,4,6,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
16,4,7,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
17,4,8,1,1,2024-02-07 00:00:00.000 +1100,2024-02-07 00:00:00.000 +1100
